ID716,2.764384586
ID717,2.738082106
ID719,2.844644841
ID720,2.843981446
ID721,2.844027291
ID722,2.845767455
ID723,2.847775615
ID724,2.837084915
ID725,2.835544532
ID727,2.835236217
ID728,2.839157126
ID729,2.847567111
ID730,2.856208921
ID731,2.852086956
ID732,2.844753291
ID733,2.839786489
ID734,2.855512338
ID735,2.836440048
ID736,2.836248102
ID737,2.846763304
ID738,2.822643965
ID739,2.848849863
ID740,2.849950343
ID741,2.824534474
ID742,2.853311776
ID743,2.844056659
ID744,2.847992866
ID745,2.843807812
ID746,2.836539618
ID747,2.838745014
ID749,2.844266189
ID751,2.855663737
ID752,2.849694155
ID753,2.8601612
ID757,2.861484495
ID759,2.850074986
ID760,2.843764321
ID761,2.851289104
ID762,2.841548995
ID763,2.843079968
ID764,2.834645549
ID765,2.846030484
ID766,2.843081439
ID768,2.845908354
ID769,2.849746294
ID770,2.841272112
ID771,2.850269028
ID772,2.84683713
ID773,2.840726612
ID774,2.846233185
ID776,2.835855715
ID777,2.864365144
ID778,2.852338585
ID779,2.842092541
ID781,2.836595015
ID783,2.837123179
ID785,2.834396259
ID786,2.85395652
ID787,2.850129442
ID788,2.842197685
ID790,2.799790757
ID792,2.867171963
ID793,2.852893123
ID797,2.840703272
ID798,2.859686974
ID801,2.835279206
ID802,2.812810968
ID803,2.846802569
ID804,2.870825589
ID806,2.733656847
ID807,2.839451756
ID811,2.830619353
ID812,2.850236629
ID813,2.843578724
ID816,2.825505304
ID817,2.847515292
ID818,2.842989774
ID819,2.835651161
ID820,2.836500518
ID821,2.865874624
ID822,2.853117416
ID823,2.860817568
ID824,2.853863715
ID825,2.783681845
ID826,2.770151993
ID833,2.867415444
ID834,2.808285247
ID835,2.902330079
ID838,2.854025272
ID839,2.847734426
ID841,2.842179397
ID844,2.852770815
ID848,2.836299466
ID849,2.859966614
ID850,2.843810397
ID851,2.824376432
ID852,2.840654907
ID853,2.845230456
ID854,2.910545586
ID855,2.846706808
